GO_VERSION	releases/2018-05-14				
NETWORK_NAME	blood				
NETWORK_VERSION	dd4974d1f0dc5bb5b8b11b6c657f4cd6c1a65d28				
DATE_CREATED	Thu Sep 08 2022 08:14:05 GMT-0400 (Eastern Daylight Time)				
					
CLUSTER_NAME	CLUSTER_GENES				
M1	ALG13,CWC15,DCP2,GGNBP2,HSPB11,KAT6A,MITD1,MPHOSPH10,NAA25,PPP1R8,RBM27,RSBN1,RTF1,SLC35A3,STARD7,TAF5L,THAP12,TMEM183A,ZC3H7A				
M2	ATF6B,ELK4,FFAR2,MAN1B1,OLR1,TCEA2				
M3	ANKRD11,BRPF1,KPNA6,SPATA2L,SPG7,STRADA,TRIM11,VPS11				
M4	ABRACL,AMDHD2,CCND3,CD163,CD48,GALNT2,IFFO2,JUND,LCP2,MARVELD1,MFSD5,MKNK1,MOB3A,PHC2,PLP2,SERTAD3,SH3TC1,SLC16A5,STAT3,TES,TUBA1A				
					
CLUSTER_NAME	TERM_NAME	GO_ID	TERM_Q_VALUE	GENE_COUNT	TERM_GENES
M1	histone H3 acetylation	GO:0043966	0.010805147411792494	2	TAF5L,KAT6A
M1	histone acetylation	GO:0016573	0.014523705149884594	2	TAF5L,KAT6A
M1	internal protein amino acid acetylation	GO:0006475	0.014523705149884594	2	TAF5L,KAT6A
M1	internal peptidyl-lysine acetylation	GO:0018393	0.014523705149884594	2	TAF5L,KAT6A
M1	peptidyl-lysine acetylation	GO:0018394	0.014523705149884594	2	TAF5L,KAT6A
M1	protein acetylation	GO:0006473	0.017668636154387466	2	TAF5L,KAT6A
M1	protein acylation	GO:0043543	0.02123664555281667	2	TAF5L,KAT6A
M1	peptidyl-lysine modification	GO:0018205	0.032876497228490176	2	TAF5L,KAT6A
M1	histone modification	GO:0016570	0.03967589457328207	2	TAF5L,KAT6A
M1	covalent chromatin modification	GO:0016569	0.03967589457328207	2	TAF5L,KAT6A
M1	mRNA metabolic process	GO:0016071	0.03967589457328207	2	DCP2,CWC15
M2	response to endoplasmic reticulum stress	GO:0034976	0.010805147411792494	2	ATF6B,MAN1B1
M3	membrane organization	GO:0061024	0.014523705149884594	2	VPS11,SPG7
M4	peptidyl-serine modification	GO:0018209	0.017668636154387466	2	MKNK1,GALNT2
M4	positive regulation of protein kinase activity	GO:0045860	0.032876497228490176	2	CCND3,LCP2
M4	positive regulation of kinase activity	GO:0033674	0.032876497228490176	2	CCND3,LCP2
					
SOURCE	TARGET	WEIGHT			
LCP2	CD48	0.845412			
CD163	CD48	0.84117			
STAT3	LCP2	0.671517			
STAT3	GALNT2	0.621505			
ANAPC5	STARD7	0.540916			
DCP2	RSBN1	0.517928			
THAP12	STARD7	0.512867			
UBAC1	STARD7	0.449656			
THAP12	ZC3H7A	0.440882			
ANAPC5	RNF220	0.397346			
CCND3	LCP2	0.388465			
TES	LCP2	0.382624			
ANAPC5	MPHOSPH10	0.379256			
CD163	OLR1	0.375241			
KAT6A	RSBN1	0.375098			
BRPF1	KAT6A	0.366185			
PLP2	GALNT2	0.361016			
PHC2	JUND	0.355991			
RSBN1	SLC35A3	0.35532			
CWC15	MPHOSPH10	0.355306			
SH3TC1	LCP2	0.348111			
THAP12	HSPB11	0.345319			
THAP12	ANAPC5	0.326909			
OLR1	CD48	0.326479			
MKNK1	LCP2	0.325165			
GALNT2	MAN1B1	0.316838			
GGNBP2	MPHOSPH10	0.295693			
NAA25	MPHOSPH10	0.283112			
ANAPC5	UBAC1	0.265874			
JUND	TUBA1A	0.263996			
RNF220	KPNA6	0.262883			
ALG13	ZC3H7A	0.259949			
STAT3	ANAPC5	0.25894			
MITD1	CWC15	0.255604			
HSPB11	ANAPC5	0.255082			
SPG7	ANAPC5	0.243861			
SPG7	VPS11	0.241729			
CWC15	PPP1R8	0.239911			
ABRACL	HSPB11	0.230762			
SPG7	STRADA	0.219708			
JUND	SERTAD3	0.21756			
STAT3	KAT6A	0.212993			
VPS11	MAN1B1	0.197227			
SLC16A5	VPS11	0.196329			
ANAPC5	NAA25	0.195373			
KAT6A	KPNA6	0.194784			
STAT3	KPNA6	0.193247			
TUBA1A	MAN1B1	0.187081			
SPG7	ANKRD11	0.186673			
DCP2	RTF1	0.181939			
ANAPC5	MAN1B1	0.179274			
ANAPC5	PPP1R8	0.178101			
TMEM183A	UBAC1	0.177949			
TIMM10B	STARD7	0.177343			
RNF220	STARD7	0.177218			
RBM27	THAP12	0.176392			
ABRACL	TES	0.175754			
SPG7	TRIM11	0.17075			
TMEM183A	PPP1R8	0.166552			
TAF5L	MPHOSPH10	0.159933			
MFSD5	CCND3	0.154093			
MOB3A	LCP2	0.146632			
SLC16A5	CD163	0.142302			
IFFO2	TES	0.133193			
PLP2	MARVELD1	0.132174			
STRADA	KPNA6	0.125812			
MAN1B1	TCEA2	0.114106			
BRPF1	STRADA	0.107763			
AMDHD2	LCP2	0.093179			
SPATA2L	ANKRD11	0.0914453			
TIMM10B	UBAC1	0.0743929			
ATF6B	OLR1	0.0613694			
ELK4	OLR1	0.0594571			
FFAR2	OLR1	0.0561472			
