Aliquot_ID,Submission_QC_result,GEX_QC_result,ATAC_QC_result,Not_Pass_metric,Estimated_number_of_cells,GEX_Mean_raw_reads_per_cell,GEX_Median_UMI_counts_per_cell,GEX_Reads_mapped_confidently_to_intronic_regions,GEX_Reads_mapped_confidently_to_exonic_regions,GEX_Q30_bases_in_read_2,GEX_Fraction_of_transcriptomic_reads_in_cells,ATAC_Q30_bases_in_read_1,ATAC_Q30_bases_in_read_2,ATAC_Confidently_mapped_read_pairs,ATAC_Median_high.quality_fragments_per_cell,ATAC_Fraction_of_transposition_events_in_peaks_in_cells,ATAC_TSS_enrichment_score,GEX_Mean_Trimmed_Sequence_Length,ATAC_Mean_Trimmed_Sequence_Length,GEX_Over_20percent_mt_in_Cell,GEX_Percent_XIST,GEX_Gender_determination,ATAC_Gender_Determination,ATAC_Mononucleosome_Peak,ATAC_Nucleosome_Free_Region_Peak,ATAC_Cell_Count_Post_Signac_Filter,ATAC_Number_of_Clusters_Post_Signac_Filter
dff86a0223e5016d,Pass,Good,Pass,NA,20000,11953.4068,1549,0.42,0.2639,0.9311,0.7652,0.9454,0.9228,0.9065,3506,0.254,6.5906,90.8138,74.2687,9.05,0.72545,Female,Female,TRUE,TRUE,10767,8
98dda79769e72a6e,Pass,Good,Pass,NA,20000,21099.3763,2395.5,0.4744,0.2911,0.9307,0.7611,0.9442,0.9309,0.9151,2587.5,0.4607,10.875,90.9631,71.6985,4.785,0.78215,Female,Female,TRUE,TRUE,15490,11
101f214ee96a731d,Pass,Pass,Pass,NA,20000,7108.214,1255,0.5013,0.2804,0.9301,0.7133,0.9315,0.9319,0.9086,3421,0.4084,8.1689,91.612,72.8404,3.91,0.6668,Female,Female,TRUE,TRUE,17140,13
e43db0f72b9c2e31,Pass,Pass,Pass,NA,20000,15643.9129,1970,0.5493,0.2427,0.933,0.6257,0.9381,0.9306,0.9188,4172,0.4861,10.4002,91.4996,72.6935,0.645,0,Male,Male,TRUE,TRUE,19136,13
6d3c948c3d33ebfd,Pass,Pass,Pass,NA,8449,28982.801,2368,0.3795,0.3108,0.9279,0.666,0.9461,0.9341,0.9005,1746,0.323,7.2342,91.4804,73.0592,8.817611552,0.78766718,Female,Female,TRUE,TRUE,3875,7
10f3dcc0cc309e53,Pass,Pass,Pass,NA,6201,43215.1617,1934,0.3135,0.2834,0.9338,0.6755,0.9444,0.928,0.9078,4954,0.2539,7.3191,90.1198,72.9986,16.91662635,0.695049186,Female,Female,TRUE,TRUE,3509,7
fba8595c48236db8,Pass,Good,Pass,NA,8358,52461.1911,3095.5,0.3479,0.3205,0.9275,0.7125,0.9481,0.9264,0.8914,4559.5,0.2457,6.6845,91.3287,70.5585,11.10313472,0.000239292,Male,Male,TRUE,TRUE,4780,8
3247c65ecdbfe34a,Pass,Good,Pass,NA,20000,15527.7985,2350.5,0.4285,0.2905,0.9297,0.7141,0.9451,0.9291,0.9164,3452,0.552,9.8286,92.4346,71.5502,5.345,0.79965,Female,Female,TRUE,TRUE,18366,14
b8591ca6827c4155,Pass,Not Pass,Not Pass,"GEX_Over_20percent_mt_in_Cell,ATAC_Gender_Determination",20000,15776.094,1859.5,0.2919,0.3069,0.9316,0.609,0.9452,0.92,0.9106,6994,0.2409,6.4363,85.5052,74.8991,50.665,0.66545,Female,Undefined,TRUE,TRUE,15008,9
575d74707585856a,Pass,Pass,Pass,NA,20000,12945.8443,1639,0.5484,0.2431,0.9346,0.6857,0.9372,0.9303,0.913,3042,0.4608,9.8364,92.2303,73.0908,1.25,2.00E-04,Male,Male,TRUE,TRUE,17132,11
717579a2ae2fb6c2,Pass,Good,Pass,NA,14460,21430.7974,2355.5,0.411,0.3031,0.9316,0.8552,0.9425,0.9301,0.9116,3498,0.4536,9.8448,91.6458,70.9275,3.990318119,0.777455048,Female,Female,TRUE,TRUE,11089,13
d360f89cf9585dfe,Pass,Pass,Pass,NA,20000,15478.7797,2508.5,0.4501,0.3011,0.9277,0.6152,0.9456,0.926,0.9181,4159,0.5526,10.4597,91.8397,71.3805,2.05,0.8353,Female,Female,TRUE,TRUE,19279,12
8832fff8247b18b9,Pass,Pass,Pass,NA,5783,41612.3164,3466,0.318,0.3193,0.9284,0.6332,0.9494,0.9264,0.9063,4413,0.18,5.7015,90.9886,74.8289,17.53415182,0.819643784,Female,Female,TRUE,TRUE,3184,6
b82bb7c75d47dac1,Pass,Pass,Pass,NA,10068,22084.5942,1779,0.3762,0.2798,0.9302,0.6072,0.9357,0.9223,0.9046,3594,0.2227,5.9748,90.9944,74.809,5.21454112,0.668355185,Female,Female,TRUE,TRUE,4946,8
bfc117ff136376a4,Pass,Pass,Good,NA,1676,152833.3532,4056.5,0.3276,0.3338,0.9295,0.674,0.9454,0.9289,0.9056,11490.5,0.2513,7.9218,91.2465,72.7557,13.78281623,0.856801909,Female,Female,TRUE,TRUE,1115,8
48ebe8475317ba95,Pass,Pass,Pass,NA,5735,53793.6888,3193,0.342,0.3478,0.9305,0.7309,0.9292,0.9307,0.9075,4763,0.1839,6.3816,92.0708,75.4077,24.96948561,0.000174368,Male,Male,TRUE,TRUE,3569,7
c1eb160d7bd1f29f,Pass,Good,Pass,NA,8595,38688.5226,2463,0.3208,0.3271,0.9319,0.7918,0.9419,0.9334,0.9043,4453,0.3214,8.9289,91.6667,72.8336,16.74229203,0.702850494,Female,Female,TRUE,TRUE,5929,10
a464019298ae6682,Pass,Good,Pass,NA,20000,17416.7183,2238,0.509,0.2723,0.9346,0.7688,0.9415,0.9285,0.9223,2702.5,0.5514,11.7365,92.0819,71.1333,2.575,0.00025,Male,Male,TRUE,TRUE,16278,12
216bb226181591dd,Good,Good,Good,NA,15030,26714.5876,2318,0.3153,0.2872,0.9279,0.7235,0.9365,0.9259,0.9025,5651,0.2474,6.5454,91.4036,72.5451,15.59547572,0.73825682,Female,Female,TRUE,TRUE,9466,8
dde63f8ca98af665,Pass,Good,Pass,NA,20000,14067.7128,1645,0.4259,0.2997,0.9307,0.8378,0.9358,0.9338,0.9245,3436,0.5634,11.7554,92.2937,69.0331,7.35,0.66995,Female,Female,TRUE,TRUE,14681,16
dd2400103e2e8c0f,Pass,Good,Pass,NA,20000,19066.75,2473,0.4426,0.3168,0.9361,0.7609,0.9331,0.9299,0.9189,3298.5,0.5139,10.4818,92.7796,71.5371,9.63,0.8172,Female,Female,TRUE,TRUE,18023,12
c7b3896c9d59a686,Pass,Good,Pass,NA,10469,20752.8458,2085,0.3687,0.3181,0.9307,0.7247,0.9473,0.9285,0.9078,3469,0.2863,7.1313,91.5835,74.0383,13.38236699,0.708950234,Female,Female,TRUE,TRUE,6013,9
abf6d19ee03be1e8,Pass,Good,Pass,NA,13241,25319.5916,2853,0.43,0.3018,0.9349,0.8494,0.9354,0.9286,0.9216,4473,0.4632,10.5477,91.2726,71.5833,11.35110641,0.771089797,Female,Female,TRUE,TRUE,10507,10
9c6ec1b704700c7d,Pass,Good,Pass,NA,20000,14712.2406,2209,0.458,0.2881,0.9226,0.7582,0.9413,0.9248,0.9274,3741,0.5643,12.008,90.8612,70.2578,1.89,1.00E-04,Male,Male,TRUE,TRUE,18462,12
8afb0b28bf8914f8,Good,Good,Good,NA,7211,23669.3704,2151,0.3935,0.31,0.9284,0.7355,0.9415,0.9338,0.9157,5432,0.5584,11.007,90.7016,71.2981,10.55332131,0,Male,Male,TRUE,TRUE,5806,13
d554be0e36e4d789,Pass,Pass,Pass,NA,20000,20071.1174,2348,0.5492,0.2481,0.9326,0.6158,0.9437,0.9315,0.9153,4002,0.4664,10.2859,91.7791,72.373,2.865,0.8218,Female,Female,TRUE,TRUE,18564,11
6f609a68dca1261f,Pass,Good,Pass,NA,20000,16836.5014,2115.5,0.4915,0.2834,0.9288,0.7655,0.9446,0.929,0.9154,2254,0.4568,11.2066,91.7919,71.921,2.615,0.77175,Female,Female,TRUE,TRUE,14767,10
001c96c7a4adc441,Pass,Good,Pass,NA,16157,17543.206,1812,0.4026,0.2957,0.933,0.7526,0.9313,0.9316,0.9053,2064,0.3121,7.4438,91.8173,73.5583,16.49439871,0.64294114,Female,Female,TRUE,TRUE,6625,7
7b54cfac7e67b0fa,Pass,Good,Pass,NA,20000,14679.5675,1878,0.497,0.2691,0.9291,0.775,0.9431,0.9264,0.9083,2999,0.358,9.2129,91.2118,73.3001,4.76,0.76875,Female,Female,TRUE,TRUE,15079,10
3c4540710e55f7b1,Pass,Good,Pass,NA,20000,16507.4608,2159,0.4958,0.2781,0.9333,0.7039,0.9367,0.9307,0.922,3614.5,0.5207,12.0564,91.1936,70.643,2.73,0.91985,Female,Female,TRUE,TRUE,18540,12
